sl_no,model_type,model_name,reaction_type,reactions_text,reactions_composition_SMILES,invalid_SMILE,reactions_SMILES,invalid_reaction_SMILES,reactions_SMARTS,invalid_reaction_SMARTS,reactions_SMIRKS,invalid_reaction_SMIRKS
9,groq,groq/openai/gpt-oss-120b,Addition Reaction,"**Addition Reaction Summary**

Addition reactions involve the conversion of double or triple bonds into single bonds by adding atoms or groups to the carbon atoms involved in the unsaturation. They are a counterpart to elimination reactions, which involve removing substituents to form multiple bonds.

Key Steps:
1. **Electrophilic Addition**: A common addition mechanism where an electrophile initially attacks the π-bond of a double bond, leading to the formation of a carbocation, which is then attacked by a nucleophile. This is exemplified by the addition of hydrogen bromide (HBr) across a double bond, where H+ adds first to form a carbocation followed by the nucleophilic attack by Br-.

2. **Nucleophilic Addition**: Occurs frequently in carbonyl compounds. An example is the nucleophilic addition-elimination mechanism often seen in reactions involving carbonylic compounds.

3. **Markovnikov’s Rule**: In electrophilic additions to asymmetric alkenes, the electrophile attaches in such a way that the more stable carbocation is formed, often leading to the more substituted carbon becoming bonded to the electrophile.

Applications:
- Utilized in synthesizing crucial organic compounds, including alcohols, alkanes, and various substituted hydrocarbons.
- Important in polymerization processes, such as the formation of polymers via radical mechanisms.

Understanding addition reactions and their mechanisms, such as electrophilic and nucleophilic addition, is essential for predicting the outcomes of organic synthesis and reactivity.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
10,groq,groq/openai/gpt-oss-120b,Elimination Reaction,"### Elimination Reaction Summary

**Reaction Type:** Elimination Reaction

Elimination reactions are processes that transform organic molecules by removing substituents, forming multiple bonds such as double or triple bonds. This involves the elimination of a leaving group and typically requires a base. There are two main types: 

1. **E1 Mechanism (Unimolecular Elimination):**
   - Involves two steps, starting with the formation of a carbocation as the leaving group is expelled.
   - A proton is then removed from the adjacent carbon, resulting in a double bond.
   - Competes with S_N1 substitution reactions.

2. **E2 Mechanism (Bimolecular Elimination):**
   - Occurs in a single step where the base attacks a proton simultaneously as the leaving group departs, forming a double bond without forming an intermediate.
   - Competes with S_N2 substitution reactions.
   - The anti-position attack is typical.

Elimination reactions are used for converting alkyl halides to alkenes and alkynes. The choice of base and the reaction conditions can dictate the formation of double or triple bonds and guide the reaction's regioselectivity.

**Additional Notes:**
- The electrostatic attack of a proton and Markovnikov's rule guide the regiochemistry in electrophilic addition of hydrogen halides.
- Nucleophilic addition-elimination mechanisms can also occur, particularly in aromatic compounds.
- Elimination reactions can produce more stable double bonds and are strategic in organic synthesis for constructing complex molecular architectures.

These details underscore the significance of base choice and mechanistic pathways in achieving desired structural transformations via elimination reactions.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
11,groq,groq/openai/gpt-oss-120b,Substitution Reaction,"In a substitution reaction, a functional group in a chemical compound is replaced by another group. This involves substituting species into nucleophilic, electrophilic, or radical substitution. 

1. **Nucleophilic Substitution:** A nucleophile with excess electrons replaces a part of the substrate. It commonly involves S<sub>N</sub>1 and S<sub>N</sub>2 mechanisms. 
   - **S<sub>N</sub>1:** Two steps; slow formation of a carbocation, followed by nucleophile attack.
   - **S<sub>N</sub>2:** One-step back-side attack, leading to stereochemical inversion (Walden inversion).

2. **Electrophilic Substitution:** The species with positive charge (electrophile) substitutes into the aromatic system, commonly in aromatic hydrocarbons, leading to the formation of a σ-complex and subsequent restoration of aromaticity.

3. **Radical Substitution:** Involves radicals, often initiated by light or heat in a chain reaction, as seen in halogenation.

These reactions are pivotal in synthetic and industrial chemistry for creating complex molecules.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
12,groq,groq/openai/gpt-oss-120b,Pericyclic Reaction,"Pericyclic reactions are a class of organic reactions characterized by concerted cyclic movements of electrons. A key type is cycloaddition, where two or more double bond-containing molecules form a cyclic structure. An important example is the Diels–Alder reaction, a [4+2] cycloaddition, involving a conjugated diene and a substituted alkene to produce a substituted cyclohexene. These transformations are noteworthy for their stereospecificity and the construction of complex cyclic systems, making them valuable for synthesis in organic chemistry.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
13,groq,groq/openai/gpt-oss-120b,Rearrangement Reaction,n-butane -> isobutane,"['CCCC', 'CC(C)C']",0.0,['CCCC>>CC(C)C'],0.0,['CCCC>>CC(C)C'],0.0,['[C:1][C:2][C:3][C:4]>>[C:1][C:2]([C:3])[C:4]'],0.0
13,groq,groq/openai/gpt-oss-120b,Rearrangement Reaction,pentane -> isopentene,"['CCCCC', 'C=C(C)CC']",0.0,['CCCC C>>C=CC(C)C'],0.0,['[C:1][C:2][C:3][C:4][C:5]>>[C:1]=[C:2][C:3][C:4][C:5]'],0.0,['[C:1][C:2][C:3][C:4][C:5]>>[C:1]=[C:2][C:3][C:4][C:5]'],0.0
14,groq,groq/openai/gpt-oss-120b,Photochemical Reaction,"solar energy converts carbon dioxide and water into glucose, releasing oxygen","['O=C=O', 'O', 'C(C1C(C(C(C(O1)O)O)O)O)O', 'O=O']",0.0,['O=C=O.O>>C(C(C(C(C(CO)O)O)O)O)O.O=O'],0.0,['O=C=O.O>>C1(C(C(C(C(C1O)O)O)O)O)O.O=O'],0.0,['[*:1]O=C=O.[*:2]O>>[*:1]C(C1C(C(C(C(O1)O)O)O)O)O.[*:2]O=O'],0.0
15,groq,groq/openai/gpt-oss-120b,Diels-Alder Reaction,"**Diels-Alder Reaction Summary:**

The Diels-Alder reaction is a [4+2] cycloaddition reaction between a conjugated diene and a dienophile, forming a substituted cyclohexene. This pericyclic reaction involves the interaction of pi orbitals forming new sigma bonds, leading to a cyclohexene derivative. In the provided image, the mechanism displays electron flow from the diene to the dienophile, resulting in a cyclic product. The orbital overlap illustration emphasizes the interaction between the p-orbitals of the diene and the dienophile's unsaturated system, transitioning to sp³ orbitals in the product. This reaction is stereospecific and concerted, meaning it occurs in a single step without intermediates, crucial for synthesizing complex cyclic structures in organic chemistry.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
16,groq,groq/openai/gpt-oss-120b,Olefin Metathesis,"Olefin metathesis is an organic reaction involving the redistribution of olefin fragments by breaking and reforming carbon-carbon double bonds. It offers fewer by-products and hazardous wastes compared to alternative methods. Key catalysts include Schrock and Grubbs catalysts, essential for facilitating the reaction. Schrock catalysts are based on molybdenum(VI) and tungsten(VI) supported by alkoxide and imido ligands, while Grubbs catalysts utilize ruthenium(II) carbene complexes. This reaction revolutionized organic synthesis, and Schrock, Grubbs, and Chauvin received the 2005 Nobel Prize in Chemistry for their contributions.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
17,groq,groq/openai/gpt-oss-120b,Cycloaddition Reaction,"Cycloaddition reactions are chemical reactions in which two or more unsaturated molecules combine to form a cyclic adduct with altered bond multiplicity. These reactions are typically concerted and pericyclic, belonging to the class of addition reactions that do not require nucleophiles or electrophiles. Described using two notations, the older system uses parentheses for atom count, such as the Diels-Alder reaction as a (4+2)-cycloaddition. The IUPAC-preferred notation, introduced by Woodward and Hoffmann, uses square brackets to indicate electrons involved, such as the [4+2] notation for Diels-Alder and [3+2] for 1,3-dipolar cycloaddition. These reactions are key in synthetic organic chemistry.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
18,groq,groq/openai/gpt-oss-120b,Coupling Reaction,"In the context of organic chemistry, a coupling reaction involves the bonding of two reactant molecules, typically facilitated by a metal catalyst. A prominent example is where an organometallic compound (R-M) reacts with an organic halide (R'-X) to form a new carbon–carbon bond. The most prevalent type is the cross-coupling reaction, recognized in the 2010 Nobel Prize awarded to Heck, Negishi, and Suzuki for their work on palladium-catalyzed cross coupling.

Coupling reactions are classified into two types: 
1. **Homocouplings** - Join two identical partners resulting in a symmetrical product (R–R).
2. **Heterocouplings** - Join two different partners resulting in an unsymmetrical product (R–R').

The Ullmann reaction, an example of homocoupling, is depicted where two identical aryl halides (Ar-X) react using copper to form a biaryl product. Historical coupling reactions include:

- **Wurtz reaction (1855):** Uses sodium as a reductant in dry ether.
- **Pinacol coupling (1859):** Utilizes various metals requiring a proton donor.
- **Glaser coupling (1869):** Employs Cu with O₂ as the H-acceptor.
- **Ullmann reaction (1901):** Requires Cu and high temperatures.
- **Fittig reaction:** Similar to Wurtz but uses aromatic halides.
- **Scholl reaction (1910):** Uses NaAlCl₄ and high heat, with O₂ as an H-acceptor.

These reactions illustrate essential methods for constructing complex organic molecules through strategic carbon–carbon bond formation.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
19,groq,groq/openai/gpt-oss-120b,Free Radical Reaction,"A free radical reaction involves free radicals, often found in organic reactions. Key studies include the discovery of the triphenylmethyl radical and the lead-mirror experiment by Paneth, which demonstrated the creation and movement of methyl radicals. These reactions, prevalent in organic synthesis, are typically initiated by radical initiators like peroxides and follow a chain mechanism with initiation, propagation, and termination steps. Inhibitors can slow the reaction, while radical disproportionation presents a challenge. These reactions usually occur in the gas phase and are not heavily influenced by the medium's polarity.

Kinetically, the reaction rate in a steady state depends on the concentration of initiating and terminating species, with a rate expressed as \( \text{rate} = k_{\text{obs}} [I]^{3/2} \), reflecting a broken-order dependence. Reactivity is influenced by bond types, with carbon-hydrogen bonds reacting in the order: primary < secondary < tertiary < benzylic < allylic, and stabilized through resonance and captodative effects.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
20,groq,groq/openai/gpt-oss-120b,Ring-Opening Reaction,"The text discusses ring-opening reactions of epoxides, which are three-membered cyclic ethers with one oxygen atom. These rings have high ring tension due to the geometric strain, as the bond angles are 60° instead of the ideal 109.5° for sp³ hybridized atoms. This strain contributes to their reactivity with nucleophiles, despite the weak nature of oxygen as a leaving group. The ring-opening reaction is facilitated by this strain, making epoxides more susceptible to nucleophilic attack. In contrast, larger cyclic ethers do not undergo similar reactions under the same conditions due to reduced ring strain.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
21,groq,groq/openai/gpt-oss-120b,Ring-Closing Reaction,"**Summary of Ring-Closing Metathesis (RCM):**

Ring-closing metathesis (RCM) is an important reaction type in organic chemistry used for the synthesis of unsaturated rings through the intramolecular metathesis of two terminal alkenes, forming a cycloalkene and ethylene as by-products. Typically catalyzed by transition metals like Ru, Mo, and W, RCM is highly valued for its role in creating diverse ring sizes, commonly between 5-7 atoms, but extending to larger macrocycles. 

The process was notably advanced by chemists Robert H. Grubbs and Richard R. Schrock, who received the Nobel Prize for their contributions to olefin metathesis. Furthermore, RCM's efficiency and broad applicability make it a key method in green chemistry due to its atom economy. Ethylene is the main by-product, underscoring its environmentally conscious design. RCM remains a rich field for continued research and review.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
22,groq,groq/openai/gpt-oss-120b,Complexation Reaction,"In complexation reactions, multiple ligands interact with a metal atom to create a coordination complex. This process involves ligands donating their lone pairs to the empty orbitals of the metal atom, forming dipolar bonds. These ligands are Lewis bases and can be ions or neutral molecules such as carbon monoxide, ammonia, or water. The 18-electron rule is often applied to predict the number of ligands that bind to a central metal atom, signifying that the valence shells of a transition metal ideally accommodate 18 electrons. The symmetry and structure can be further analyzed using crystal field theory and ligand field theory. Complexation also includes ligand exchange and redox processes that modify the oxidation state of the central metal atom. An example of such a complex is Ferrocene, which features an iron atom coordinated between two cyclopentadienyl ligands.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
23,groq,groq/openai/gpt-oss-120b,Ligand Substitution,"**Summary of Ligand Substitution Reaction: Associative Mechanism**

The reaction involves nucleophilic substitution via an associative (A) \(S_N2\) mechanism, characterized by the formation of an intermediate with a higher coordination number (CN) than the reactant. The mechanism consists of two steps:

1. Formation of Intermediate: 
   \[
   ML_5X + Y \rightarrow ML_5XY 
   \]
   This step is slow and the intermediate is rarely isolatable.

2. Release of Leaving Group: 
   \[
   ML_5XY \rightarrow ML_5Y + X 
   \]
   This step is fast.

The reaction pathway features a narrow transition state (TS) with a negative entropy change (\(\Delta S\)). The kinetic expression for these associative reactions is defined as:
\[ 
\frac{d[ML_5Y]}{dt} = \frac{k_1k_2[ML_5X][Y]}{k_{-1} + k_2}
\]
The intermediate and transition state structures can be Capped Octahedral and Penta Bipyramidal. Such reactions are critical for understanding kinetics and mechanisms in coordination chemistry.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
24,groq,groq/openai/gpt-oss-120b,Electron Transfer Reaction,"Electron transfer reactions (redox reactions) in transition metal complexes involve the transfer of an electron from one species to another, specifically between complexes. The reaction can be represented as: 

\[ \text{M}_1^{(x+)}\text{L}_n + \text{M}_2^{(y+)}\text{L}'_n \rightarrow \text{M}_1^{(x+1)+}\text{L}_n + \text{M}_2^{(y-1)+}\text{L}'_n \]

This involves -1 electron (oxidation) and +1 electron (reduction). These reactions are characterized by their rapidity, surpassing ligand exchange rates, and may not always involve ligand exchange. They play crucial roles in biological processes, particularly in metalloenzymes.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
25,groq,groq/openai/gpt-oss-120b,Solid-State Reaction,"Solid-state reactions occur without solvents, classified as mechanochemical processes. Reactants have limited contact and are typically ground, melted, or heated (around 1000-1500°C) to form polycrystalline inorganic solids. These reactions, also known as dry media or solventless reactions, are used in organic synthesis and metal alloy production (e.g., carbon steel, Fe-Ni). Key influencing factors include the chemical and morphological properties of reagents, reactivity, surface area, free energy changes, and reaction conditions like temperature and pressure. While they minimize chemical waste and cost, they may produce toxic byproducts and are not ideal for mass production.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
26,groq,groq/openai/gpt-oss-120b,Gas-Forming Reaction,"[""error >>'CO'""]",['error'],,['error'],,['error'],,['error'],
27,groq,groq/openai/gpt-oss-120b,Metal Displacement,"['error >>Error code: 400 - {\'error\': {\'message\': ""Generated JSON does not match the expected schema. Please adjust your prompt. See \'failed_generation\' for more details. Error: jsonschema: \'\' does not validate with file:///home/di/params.json#/required: missing properties: \'SMILES_response\'"", \'type\': \'invalid_request_error\', \'code\': \'json_validate_failed\', \'failed_generation\': \'{""type"": ""text"", ""text"": ""{\\\\""SMILES_response\\\\"":[\\\\""Zn\\\\"",\\\\""CuO\\\\"",\\\\""ZnO\\\\"",\\\\""Cu\\\\""]}""}\'}}']",['error'],,['error'],,['error'],,['error'],
28,groq,groq/openai/gpt-oss-120b,Electrochemical Reaction,"['error >>Error code: 400 - {\'error\': {\'message\': ""Generated JSON does not match the expected schema. Please adjust your prompt. See \'failed_generation\' for more details. Error: jsonschema: \'\' does not validate with file:///home/di/params.json#/required: missing properties: \'SMIRKS_reaction_response\'"", \'type\': \'invalid_request_error\', \'code\': \'json_validate_failed\', \'failed_generation\': \'{""type"": ""text"", ""text"": ""{\\\\""SMIRKS_reaction_response\\\\"":[\\\\""[Zn:1]>>[Zn+2:1]\\\\""]}""}\'}}']",['error'],,['error'],,['error'],,['error'],
29,groq,groq/openai/gpt-oss-120b,Electrolysis,"Electrolysis is a chemical process using direct electric current (DC) to drive a non-spontaneous chemical reaction, primarily to separate elements from ores using an electrolytic cell. Key to this process is the decomposition potential, the minimum voltage needed. The term ""electrolysis,"" introduced by Michael Faraday in 1834, combines Greek roots meaning ""amber"" (linked to electrical phenomena) and ""dissolution."" Historically, William Nicholson and Anthony Carlisle expanded on Volta's work, observing gas production from water during electrolysis. The accompanying image depicts a Hofmann apparatus for this process.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
30,groq,groq/openai/gpt-oss-120b,Galvanic Cell Reaction,"A galvanic cell, named after scientists Luigi Galvani and Alessandro Volta, is an electrochemical cell generating electric current through spontaneous oxidation-reduction reactions. It consists of two different metal electrodes, each in separate solutions and connected by a salt bridge or porous membrane. An example includes a zinc anode and copper cathode setup. Volta invented the voltaic pile, the first electrical battery, evolving from multiple galvanic cells to a single cell design.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
31,groq,groq/openai/gpt-oss-120b,Electroplating,"Electroplating, or electrodeposition, is a process of coating a solid surface with a metal layer using a direct electric current. The object to be coated acts as the cathode in an electrolytic cell, with a salt solution of the coating metal as the electrolyte, and the anode as an inert or same-metal conductor. Widely used in industries and decorative arts, electroplating enhances object qualities like abrasion resistance, corrosion resistance, and appearance. It's also employed in electronic applications such as printed circuit boards and copper purification. Throwing power impacts uniformity of the electroplated layer, influenced by solution composition and current density.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
32,groq,groq/openai/gpt-oss-120b,Enzymatic Reaction,"Enzymatic reactions involve enzyme-catalyzed chemical processes that accelerate reaction rates in biological systems. The reaction involves an enzyme (E) binding with a substrate (S) to form an enzyme-substrate complex (ES), which transitions through a state (ES*) to form a product (P), while regenerating the enzyme. This process is summarized by the mechanism: E + S ⇌ ES ⇌ ES* ⇌ EP ⇌ E + P.

Enzyme kinetics studies these reactions by measuring the rates and conditions affecting them, providing insights into enzyme activity, metabolism regulation, and drug interactions. Some enzymes catalyze single-substrate reactions, while others facilitate multi-substrate reactions, such as dehydrogenases. Enzyme kinetics can highlight the rate-determining steps in these reactions, often involving a chemical alteration or structural change affecting the enzyme or substrates.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
33,groq,groq/openai/gpt-oss-120b,Group Transfer Reaction,"In group transfer reactions, a functional group is transferred from a donor molecule to an acceptor molecule. The image illustrates the transfer of an amine group from an α-amino acid (donor) to an α-keto acid (acceptor), resulting in a new α-amino acid and a new α-keto acid. This specific type of group transfer is crucial in biological systems for producing α-amino acids used in protein synthesis. Here, the donor's amine group is replaced by an oxygen to form a ketone, while the acceptor's carbonyl oxygen is replaced by the amine group.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
34,groq,groq/openai/gpt-oss-120b,Hydrolysis Reaction,sucrose can be hydrolyzed into glucose and fructose,"['C(C1C(C(C(C(O1)O)O)O)O)OC2C(C(C(C(O2)CO)O)O)O', 'C(C1C(C(C(C(O1)O)O)O)O)O', 'C(C(C=O)C(O)C(O)CO)O']",0.0,['OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O[C@@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]2O>>OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O.O[C@H]1[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1CO'],0.0,['[C:1]O[C:2]>>[C:1]O.[C:2]O'],0.0,['[C:1][O:2][C:3]>>[C:1][O:2].[C:3]'],0.0
35,groq,groq/openai/gpt-oss-120b,Anabolic Reaction,"Anabolic reactions are metabolic pathways that construct macromolecules such as DNA and RNA from smaller units, requiring energy input in an endergonic process. Anabolism is the constructive phase of metabolism and is synonymous with biosynthesis. These reactions involve polymerization, using condensation reactions to create macromolecules like nucleic acids, proteins, and polysaccharides, facilitated by enzymes and cofactors.

Energy for anabolic processes is often derived from ATP cleavage, involving reduction reactions that decrease entropy, necessitating energy input. Precursor molecules are joined using chemical energy from cofactors like NAD⁺ and FAD. Overall, anabolism requires energy, making it unfavorable without external sources.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
36,groq,groq/openai/gpt-oss-120b,Catabolic Reaction,"Catabolic reactions involve the breakdown of complex molecules into simpler ones, releasing energy used for cellular activities. These reactions are a key component of metabolism, providing the chemical energy necessary for the maintenance and growth of cells. In catabolism, large molecules such as proteins, polysaccharides, and fats are broken into smaller units like amino acids, monosaccharides, and fatty acids, respectively. This process often involves hydrolysis and oxidation pathways, utilizing enzymes and coenzymes such as NAD+.

Cells use monomers released from these reactions to construct new polymer molecules or degrade them further into simple waste products. Examples include glycolysis and the breakdown of muscle protein for energy during starvation. Catabolic pathways are ATP-dependent, helping in energy regulation and cellular respiration. Hormones like cortisol, glucagon, and adrenaline play roles in facilitating catabolic reactions. A diagram of carbon metabolism illustrates the pathways for free energy involving carbohydrates and lipids.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
37,groq,groq/openai/gpt-oss-120b,Homogeneous Catalysis,CH₃CO₂CH₃ + H₂O ⇌ CH₃CO₂H + CH₃OH,"['CC(=O)OC', 'O', 'CC(=O)O', 'CO']",0.0,['CC(=O)OC.O>>CC(=O)O.CO'],0.0,['[C:1](=O)[O:2][C:3].[O:4]>>[C:1](=O)[O:5].[C:3][O:6]'],0.0,['[C:1](=O)[O:2][C:3].[O:4]>>[C:1](=O)[O:4].[O:2][C:3]'],0.0
38,groq,groq/openai/gpt-oss-120b,Heterogeneous Catalysis,"Heterogeneous catalysis involves catalysts in a different phase than the reactants, typically solid catalysts with gas-phase reactants. This process facilitates adsorption, reaction, and desorption on the catalyst's surface, influencing reaction kinetics. It's crucial for large-scale, selective production and significantly impacts the global GDP by enabling 90% of chemical production, including the Haber–Bosch process for ammonia synthesis. Adsorption, a key step, involves physisorption (weak) and chemisorption (strong), with desorption releasing the adsorbate. The Lennard-Jones model assists in predicting molecular interactions.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
39,groq,groq/openai/gpt-oss-120b,Biocatalysis,"Biocatalysis involves using biological systems or their parts, like enzymes, to accelerate chemical reactions, particularly on organic compounds. Enzymes can be used in isolation or within living cells. Advances in biotechnology, such as directed evolution, have allowed for the creation of modified enzymes capable of facilitating novel reactions otherwise challenging for traditional synthetic chemistry. When these enzymes contribute to organic synthesis, the process is known as chemoenzymatic synthesis, and the resulting reactions are referred to as chemoenzymatic reactions.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
40,groq,groq/openai/gpt-oss-120b,Autocatalysis,"Autocatalysis is a chemical reaction where the reaction products serve as catalysts for the same reaction, leading to a self-sustaining process. The page outlines that such reactions can collectively form a network where products catalyze various steps, ensuring the entire set is self-sustaining with energy input. Notable examples include the acid-catalyzed hydrolysis of esters, the autoxidation of hydrocarbons, and specific oscillating reactions like the Belousov–Zhabotinsky reaction. Autocatalysis is also observed in solid-state reactions, impacting growth rates, as seen in electroless plating where deposition rates escalate after initial nucleation.",[],-1.0,[],-1.0,[],-1.0,[],-1.0
